model,condition,seed,layer,cosine,locked
BASE,pw,1,19,0.2386452406644821,False
BASE,pw,1,20,0.2020958960056305,False
BASE,pw,1,21,0.1933559477329254,False
BASE,pw,1,22,0.2017299234867096,False
BASE,pw,1,23,0.1631466746330261,False
BASE,pw,1,24,0.0904693901538848,False
BASE,pw,1,25,0.0733489990234375,False
BASE,pw,1,26,0.1553036272525787,False
BASE,pw,1,27,0.167270690202713,False
BASE,pw,1,28,0.1392382234334945,False
PW,pw,0,0,,True
PW,pw,0,1,0.5447129607200623,True
PW,pw,0,2,0.5348109602928162,True
PW,pw,0,3,0.7456328272819519,True
PW,pw,0,4,0.6424495577812195,True
PW,pw,0,5,0.6167799234390259,True
PW,pw,0,6,0.5815612077713013,True
PW,pw,0,7,0.5905342102050781,True
PW,pw,0,8,0.5731441974639893,True
PW,pw,0,9,0.511563241481781,True
PW,pw,0,10,0.5272481441497803,True
PW,pw,0,11,0.6118963956832886,True
PW,pw,0,12,0.4947154521942138,True
PW,pw,0,13,0.3923491835594177,True
PW,pw,0,14,0.2931685447692871,True
PW,pw,0,15,0.1999958604574203,True
PW,pw,0,16,0.110351838171482,True
PW,pw,0,17,0.0966811701655387,True
PW,pw,0,18,0.0895258486270904,True
PW,pw,0,19,0.1036560088396072,True
PW,pw,0,20,0.1552777290344238,True
PW,pw,0,21,0.191468209028244,True
PW,pw,0,22,0.1391347348690033,True
PW,pw,0,23,0.1291700005531311,True
PW,pw,0,24,0.1231648921966552,True
PW,pw,0,25,0.1288555860519409,True
PW,pw,0,26,0.1061360985040664,True
PW,pw,0,27,0.1133701279759407,True
PW,pw,0,28,0.0325124859809875,True
PW,pw,1,0,,True
PW,pw,1,1,0.5329819917678833,True
PW,pw,1,2,0.5852600932121277,True
PW,pw,1,3,0.8095769286155701,True
PW,pw,1,4,0.7034387588500977,True
PW,pw,1,5,0.6902899146080017,True
PW,pw,1,6,0.677894115447998,True
PW,pw,1,7,0.6672874689102173,True
PW,pw,1,8,0.6133472919464111,True
PW,pw,1,9,0.5263647437095642,True
PW,pw,1,10,0.6025948524475098,True
PW,pw,1,11,0.5279837846755981,True
PW,pw,1,12,0.4536127150058746,True
PW,pw,1,13,0.3251491189002991,True
PW,pw,1,14,0.2502626180648803,True
PW,pw,1,15,0.1231641247868537,True
PW,pw,1,16,0.0452853664755821,True
PW,pw,1,17,-0.0031214889604598,True
PW,pw,1,18,0.0739531889557838,True
PW,pw,1,19,0.0789419412612915,True
PW,pw,1,20,0.1923224478960037,True
PW,pw,1,21,0.2289396375417709,True
PW,pw,1,22,0.1863672882318496,True
PW,pw,1,23,0.1377374827861786,True
PW,pw,1,24,0.1351252198219299,True
PW,pw,1,25,0.1623322814702987,True
PW,pw,1,26,0.1177567765116691,True
PW,pw,1,27,0.1508038341999054,True
PW,pw,1,28,-0.0022950335405766,True
SEM,sem,0,0,,True
SEM,sem,0,1,0.766942024230957,True
SEM,sem,0,2,0.8205861449241638,True
SEM,sem,0,3,0.6713849902153015,True
SEM,sem,0,4,0.7092871069908142,True
SEM,sem,0,5,0.6782434582710266,True
SEM,sem,0,6,0.5682937502861023,True
SEM,sem,0,7,0.5385514497756958,True
SEM,sem,0,8,0.564916729927063,True
SEM,sem,0,9,0.5549328923225403,True
SEM,sem,0,10,0.594658613204956,True
SEM,sem,0,11,0.6196515560150146,True
SEM,sem,0,12,0.8556333780288696,True
SEM,sem,0,13,0.7347984910011292,True
SEM,sem,0,14,0.6567028164863586,True
SEM,sem,0,15,0.589717447757721,True
SEM,sem,0,16,0.5502576231956482,True
SEM,sem,0,17,0.5033591389656067,True
SEM,sem,0,18,0.4487717151641845,True
SEM,sem,0,19,0.4336613118648529,True
SEM,sem,0,20,0.5028203725814819,True
SEM,sem,0,21,0.4913000762462616,True
SEM,sem,0,22,0.4275418817996979,True
SEM,sem,0,23,0.3847927153110504,True
SEM,sem,0,24,0.3557899296283722,True
SEM,sem,0,25,0.3772119879722595,True
SEM,sem,0,26,0.2825587391853332,True
SEM,sem,0,27,0.2660605907440185,True
SEM,sem,0,28,0.2181484252214431,True
SEM,sem,1,0,,True
SEM,sem,1,1,0.7176282405853271,True
SEM,sem,1,2,0.7674943804740906,True
SEM,sem,1,3,0.6349323391914368,True
SEM,sem,1,4,0.6678870916366577,True
SEM,sem,1,5,0.6273912787437439,True
SEM,sem,1,6,0.4649079442024231,True
SEM,sem,1,7,0.406622976064682,True
SEM,sem,1,8,0.4814750254154205,True
SEM,sem,1,9,0.5105266571044922,True
SEM,sem,1,10,0.5265895128250122,True
SEM,sem,1,11,0.5559753775596619,True
SEM,sem,1,12,0.8559515476226807,True
SEM,sem,1,13,0.7692815661430359,True
SEM,sem,1,14,0.6850800514221191,True
SEM,sem,1,15,0.6092933416366577,True
SEM,sem,1,16,0.5720174908638,True
SEM,sem,1,17,0.5375192761421204,True
SEM,sem,1,18,0.4985470473766327,True
SEM,sem,1,19,0.4655352234840393,True
SEM,sem,1,20,0.592265784740448,True
SEM,sem,1,21,0.5344613194465637,True
SEM,sem,1,22,0.470505952835083,True
SEM,sem,1,23,0.4249799847602844,True
SEM,sem,1,24,0.3944521844387054,True
SEM,sem,1,25,0.4223242402076721,True
SEM,sem,1,26,0.3358186781406402,True
SEM,sem,1,27,0.3199865221977234,True
SEM,sem,1,28,0.2302459180355072,True
PW_XT,pw,0,0,,True
PW_XT,pw,0,1,0.5184033513069153,True
PW_XT,pw,0,2,0.5418822169303894,True
PW_XT,pw,0,3,0.7780854105949402,True
PW_XT,pw,0,4,0.6496264934539795,True
PW_XT,pw,0,5,0.6242546439170837,True
PW_XT,pw,0,6,0.6923038959503174,True
PW_XT,pw,0,7,0.6779471635818481,True
PW_XT,pw,0,8,0.6488707065582275,True
PW_XT,pw,0,9,0.5790393352508545,True
PW_XT,pw,0,10,0.5751697421073914,True
PW_XT,pw,0,11,0.5759391784667969,True
PW_XT,pw,0,12,0.5298709869384766,True
PW_XT,pw,0,13,0.4175872802734375,True
PW_XT,pw,0,14,0.3263493478298187,True
PW_XT,pw,0,15,0.2110452800989151,True
PW_XT,pw,0,16,0.1532750278711319,True
PW_XT,pw,0,17,0.1473343223333358,True
PW_XT,pw,0,18,0.1460785418748855,True
PW_XT,pw,0,19,0.1343454271554947,True
PW_XT,pw,0,20,0.2197394073009491,True
PW_XT,pw,0,21,0.2743510603904724,True
PW_XT,pw,0,22,0.2177409827709198,True
PW_XT,pw,0,23,0.2005472034215927,True
PW_XT,pw,0,24,0.1661152392625808,True
PW_XT,pw,0,25,0.1983633786439895,True
PW_XT,pw,0,26,0.1515944004058838,True
PW_XT,pw,0,27,0.1823275238275528,True
PW_XT,pw,0,28,0.0456156991422176,True
PW_XT,pw,1,0,,True
PW_XT,pw,1,1,0.5278738737106323,True
PW_XT,pw,1,2,0.5706718564033508,True
PW_XT,pw,1,3,0.7891586422920227,True
PW_XT,pw,1,4,0.6843822002410889,True
PW_XT,pw,1,5,0.6901546716690063,True
PW_XT,pw,1,6,0.6649379730224609,True
PW_XT,pw,1,7,0.6549530625343323,True
PW_XT,pw,1,8,0.6204598546028137,True
PW_XT,pw,1,9,0.5539539456367493,True
PW_XT,pw,1,10,0.5397272706031799,True
PW_XT,pw,1,11,0.5566084384918213,True
PW_XT,pw,1,12,0.4190922677516937,True
PW_XT,pw,1,13,0.3882378041744232,True
PW_XT,pw,1,14,0.3167453706264496,True
PW_XT,pw,1,15,0.222769483923912,True
PW_XT,pw,1,16,0.1630261391401291,True
PW_XT,pw,1,17,0.1092623174190521,True
PW_XT,pw,1,18,0.1810093224048614,True
PW_XT,pw,1,19,0.1817245334386825,True
PW_XT,pw,1,20,0.2178177088499069,True
PW_XT,pw,1,21,0.252150297164917,True
PW_XT,pw,1,22,0.192972257733345,True
PW_XT,pw,1,23,0.1512857228517532,True
PW_XT,pw,1,24,0.1622828096151352,True
PW_XT,pw,1,25,0.1769760847091674,True
PW_XT,pw,1,26,0.151047483086586,True
PW_XT,pw,1,27,0.1728837788105011,True
PW_XT,pw,1,28,0.0313514806330204,True
SEM_XT,sem,0,0,,True
SEM_XT,sem,0,1,0.5388697981834412,True
SEM_XT,sem,0,2,0.4792922735214233,True
SEM_XT,sem,0,3,0.4327240586280823,True
SEM_XT,sem,0,4,0.6511073112487793,True
SEM_XT,sem,0,5,0.6002647876739502,True
SEM_XT,sem,0,6,0.4754278063774109,True
SEM_XT,sem,0,7,0.440023273229599,True
SEM_XT,sem,0,8,0.4821867942810058,True
SEM_XT,sem,0,9,0.4769325852394104,True
SEM_XT,sem,0,10,0.5716095566749573,True
SEM_XT,sem,0,11,0.604271650314331,True
SEM_XT,sem,0,12,0.375910222530365,True
SEM_XT,sem,0,13,0.4860970675945282,True
SEM_XT,sem,0,14,0.4822267889976501,True
SEM_XT,sem,0,15,0.4669502377510071,True
SEM_XT,sem,0,16,0.3970061838626861,True
SEM_XT,sem,0,17,0.3966159522533417,True
SEM_XT,sem,0,18,0.40813148021698,True
SEM_XT,sem,0,19,0.4436599314212799,True
SEM_XT,sem,0,20,0.4434597790241241,True
SEM_XT,sem,0,21,0.4223012626171112,True
SEM_XT,sem,0,22,0.3296970725059509,True
SEM_XT,sem,0,23,0.2889553904533386,True
SEM_XT,sem,0,24,0.281559020280838,True
SEM_XT,sem,0,25,0.2837102711200714,True
SEM_XT,sem,0,26,0.2771767973899841,True
SEM_XT,sem,0,27,0.3085163831710815,True
SEM_XT,sem,0,28,0.1336798965930938,True
SEM_XT,sem,1,0,,True
SEM_XT,sem,1,1,0.4614092707633972,True
SEM_XT,sem,1,2,0.4256849288940429,True
SEM_XT,sem,1,3,0.4548861682415008,True
SEM_XT,sem,1,4,0.8147554993629456,True
SEM_XT,sem,1,5,0.7607176303863525,True
SEM_XT,sem,1,6,0.738044261932373,True
SEM_XT,sem,1,7,0.6494351625442505,True
SEM_XT,sem,1,8,0.6190011501312256,True
SEM_XT,sem,1,9,0.605444610118866,True
SEM_XT,sem,1,10,0.5916677713394165,True
SEM_XT,sem,1,11,0.5492275357246399,True
SEM_XT,sem,1,12,0.4336836636066437,True
