arm,seed,capability,auc,accuracy,n_train,n_test,layer
PW_XT,0,MATH,1.0,1.0,400,200,12
PW_XT,0,MATH,1.0,1.0,400,200,13
PW_XT,0,MATH,1.0,1.0,400,200,14
PW_XT,0,MATH,1.0,1.0,400,200,15
PW_XT,0,MATH,1.0,1.0,400,200,16
PW_XT,0,MATH,1.0,1.0,400,200,17
PW_XT,0,MATH,1.0,1.0,400,200,18
PW_XT,0,MATH,1.0,1.0,400,200,19
PW_XT,0,MATH,1.0,1.0,400,200,20
PW_XT,0,MATH,1.0,1.0,400,200,21
PW_XT,0,MATH,1.0,1.0,400,200,22
PW_XT,0,MATH,1.0,1.0,400,200,23
PW_XT,0,MATH,1.0,1.0,400,200,24
PW_XT,0,MATH,1.0,1.0,400,200,25
PW_XT,0,MATH,1.0,1.0,400,200,26
PW_XT,0,MATH,1.0,1.0,400,200,27
PW_XT,0,MATH,1.0,1.0,400,200,28
PW_XT,0,CODE,0.5,0.5,400,180,0
PW_XT,0,CODE,1.0,1.0,400,180,1
PW_XT,0,CODE,1.0,1.0,400,180,2
PW_XT,0,CODE,1.0,1.0,400,180,3
PW_XT,0,CODE,1.0,1.0,400,180,4
PW_XT,0,CODE,1.0,1.0,400,180,5
PW_XT,0,CODE,1.0,1.0,400,180,6
PW_XT,0,CODE,1.0,1.0,400,180,7
PW_XT,0,CODE,1.0,1.0,400,180,8
PW_XT,0,CODE,1.0,1.0,400,180,9
PW_XT,0,CODE,1.0,1.0,400,180,10
PW_XT,0,CODE,1.0,1.0,400,180,11
PW_XT,0,CODE,1.0,1.0,400,180,12
PW_XT,0,CODE,1.0,1.0,400,180,13
PW_XT,0,CODE,1.0,1.0,400,180,14
PW_XT,0,CODE,1.0,1.0,400,180,15
PW_XT,0,CODE,1.0,1.0,400,180,16
PW_XT,0,CODE,1.0,1.0,400,180,17
PW_XT,0,CODE,1.0,1.0,400,180,18
PW_XT,0,CODE,1.0,1.0,400,180,19
PW_XT,0,CODE,1.0,1.0,400,180,20
PW_XT,0,CODE,1.0,1.0,400,180,21
PW_XT,0,CODE,1.0,1.0,400,180,22
PW_XT,0,CODE,1.0,1.0,400,180,23
PW_XT,0,CODE,1.0,1.0,400,180,24
PW_XT,0,CODE,1.0,1.0,400,180,25
PW_XT,0,CODE,1.0,1.0,400,180,26
PW_XT,0,CODE,1.0,1.0,400,180,27
PW_XT,0,CODE,1.0,1.0,400,180,28
PW_XT,1,MATH,0.5,0.5,400,200,0
PW_XT,1,MATH,1.0,1.0,400,200,1
PW_XT,1,MATH,1.0,1.0,400,200,2
PW_XT,1,MATH,1.0,1.0,400,200,3
PW_XT,1,MATH,1.0,1.0,400,200,4
PW_XT,1,MATH,1.0,1.0,400,200,5
PW_XT,1,MATH,1.0,1.0,400,200,6
PW_XT,1,MATH,1.0,1.0,400,200,7
