arm,condition,layer,BASE,STRONG,locked_arm,sft_component,lock_component,total,is_selected_layer
PW,pw,21,0.19639687240123743,0.2338091507554054,0.21020392328500745,0.037412278354167966,-0.02360522747039795,0.013807050883770017,False
PW,pw,22,0.19867049902677536,0.2042064145207405,0.16275101155042643,0.005535915493965149,-0.04145540297031408,-0.03591948747634893,False
PW,pw,23,0.15976186096668238,0.1846922934055328,0.13345374166965485,0.02493043243885043,-0.05123855173587796,-0.026308119297027532,False
PW,pw,24,0.09056960418820376,0.18872162699699396,0.12914505600929255,0.0981520228087902,-0.059576570987701416,0.03857545182108879,False
PW,pw,25,0.0709378384053707,0.1555918306112289,0.1455939337611198,0.08465399220585819,-0.0099978968501091,0.07465609535574909,False
PW,pw,26,0.1488876789808273,0.1768010407686233,0.11194643750786776,0.027913361787795993,-0.06485460326075554,-0.036941241472959546,False
PW,pw,27,0.16142509877681732,0.20743811130523676,0.13208698108792305,0.04601301252841944,-0.07535113021731371,-0.029338117688894272,False
PW,pw,28,0.14346892386674875,0.20838278532028195,0.01510872622020545,0.0649138614535332,-0.1932740591000765,-0.1283601976465433,False
SEM,sem,0,,,,,,,False
SEM,sem,1,0.7437226176261902,0.7413747310638428,0.7422851324081421,-0.002347886562347412,0.0009104013442993164,-0.0014374852180480957,False
SEM,sem,2,0.7704580724239349,0.7676045894622803,0.7940402626991272,-0.002853482961654663,0.026435673236846924,0.02358219027519226,False
SEM,sem,3,0.6381877958774567,0.6704028844833374,0.6531586647033691,0.03221508860588074,-0.01724421977996826,0.014970868825912476,False
SEM,sem,4,0.6762493252754211,0.6618083119392395,0.688587099313736,-0.01444101333618164,0.02677878737449646,0.01233777403831482,False
SEM,sem,5,0.6776067614555359,0.6501017510890961,0.6528173685073853,-0.02750501036643982,0.0027156174182891846,-0.024789392948150635,False
SEM,sem,6,0.6134847402572632,0.5523001551628113,0.5166008472442627,-0.061184585094451904,-0.035699307918548584,-0.09688389301300049,False
SEM,sem,7,0.5245489776134491,0.4846068024635315,0.4725872129201889,-0.0399421751499176,-0.01201958954334259,-0.05196176469326019,False
SEM,sem,8,0.5463177859783173,0.5378140509128571,0.5231958776712418,-0.008503735065460205,-0.014618173241615295,-0.0231219083070755,False
SEM,sem,9,0.53409343957901,0.5131789296865463,0.5327297747135162,-0.020914509892463684,0.01955084502696991,-0.0013636648654937744,False
SEM,sem,10,0.5395488739013672,0.5256178826093674,0.5606240630149841,-0.013930991291999817,0.03500618040561676,0.021075189113616943,False
SEM,sem,11,0.565904974937439,0.5216113030910492,0.5878134667873383,-0.04429367184638977,0.06620216369628906,0.021908491849899292,False
SEM,sem,12,0.6585034132003784,0.5591779351234436,0.8557924628257751,-0.09932547807693481,0.29661452770233154,0.19728904962539673,False
SEM,sem,13,0.6111235320568085,0.4620009958744049,0.7520400285720825,-0.14912253618240356,0.2900390326976776,0.14091649651527405,False
SEM,sem,14,0.5922683775424957,0.4862106293439865,0.6708914339542389,-0.10605774819850922,0.18468080461025238,0.07862305641174316,False
SEM,sem,15,0.5092170834541321,0.405676856637001,0.5995053946971893,-0.1035402268171311,0.19382853806018835,0.09028831124305725,False
SEM,sem,16,0.45855575799942017,0.4176741689443588,0.5611375570297241,-0.04088158905506134,0.1434633880853653,0.10258179903030396,False
SEM,sem,17,0.27384690940380096,0.2941232770681381,0.5204392075538635,0.020276367664337158,0.2263159304857254,0.24659229815006256,False
SEM,sem,18,0.3174551129341125,0.29777988046407694,0.47365938127040863,-0.019675232470035553,0.1758795008063317,0.15620426833629614,True
SEM,sem,19,0.32778802514076233,0.3073088377714157,0.4495982676744461,-0.02047918736934662,0.1422894299030304,0.12181024253368378,False
SEM,sem,20,0.2632959187030792,0.3419155925512314,0.547543078660965,0.07861967384815216,0.20562748610973358,0.28424715995788574,False
SEM,sem,21,0.25335071980953217,0.3416845500469208,0.5128806978464127,0.08833383023738861,0.17119614779949188,0.2595299780368805,False
SEM,sem,22,0.3459281176328659,0.3481148034334183,0.44902391731739044,0.002186685800552368,0.10090911388397217,0.10309579968452454,False
SEM,sem,23,0.34856991469860077,0.3691457062959671,0.4048863500356674,0.020575791597366333,0.03574064373970032,0.05631643533706665,False
SEM,sem,24,0.33439332246780396,0.3388203233480453,0.3751210570335388,0.0044270008802413385,0.036300733685493525,0.04072773456573486,False
SEM,sem,25,0.3327652513980865,0.36765021085739136,0.3997681140899658,0.034884959459304865,0.03211790323257446,0.06700286269187933,False
SEM,sem,26,0.31460584700107574,0.3530179560184479,0.3091887086629867,0.03841210901737213,-0.043829247355461176,-0.005417138338089045,False
SEM,sem,27,0.29795524477958674,0.30270980298519135,0.29302355647087097,0.004754558205604609,-0.009686246514320374,-0.004931688308715765,False
SEM,sem,28,0.27511137723922724,0.27790606021881104,0.22419717162847513,0.0027946829795837957,-0.0537088885903359,-0.050914205610752106,False
PW_XT,pw,0,,,,,,,False
PW_XT,pw,1,0.5246498584747314,0.5266856849193573,0.5231386125087738,0.0020358264446258545,-0.003547072410583496,-0.0015112459659576416,False
PW_XT,pw,2,0.5572941601276398,0.5147099196910858,0.5562770366668701,-0.042584240436553955,0.0415671169757843,-0.0010171234607696533,False
PW_XT,pw,3,0.6488189399242401,0.6202147305011749,0.7836220264434814,-0.028604209423065186,0.16340729594230652,0.13480308651924133,False
PW_XT,pw,4,0.5633827447891235,0.5174148976802826,0.6670043468475342,-0.04596784710884094,0.1495894491672516,0.10362160205841064,False
PW_XT,pw,5,0.5325190126895905,0.5002903789281845,0.657204657793045,-0.032228633761405945,0.15691427886486053,0.12468564510345459,False
PW_XT,pw,6,0.4729071706533432,0.49079324305057526,0.6786209344863892,0.017886072397232056,0.1878276914358139,0.20571376383304596,False
PW_XT,pw,7,0.5091219842433929,0.4990277886390686,0.6664501130580902,-0.01009419560432434,0.1674223244190216,0.15732812881469727,False
PW_XT,pw,8,0.49058420956134796,0.4534575939178467,0.6346652805805206,-0.03712661564350128,0.18120768666267395,0.14408107101917267,False
PW_XT,pw,9,0.5153628289699554,0.447461262345314,0.5664966404438019,-0.06790156662464142,0.11903537809848785,0.051133811473846436,False
PW_XT,pw,10,0.4877249151468277,0.4566658288240433,0.5574485063552856,-0.031059086322784424,0.10078267753124237,0.06972359120845795,False
PW_XT,pw,11,0.4527279883623123,0.4218301326036453,0.5662738084793091,-0.030897855758666992,0.14444367587566376,0.11354582011699677,False
PW_XT,pw,12,0.4023788869380951,0.37827517092227936,0.47448162734508514,-0.024103716015815735,0.09620645642280579,0.07210274040699005,False
PW_XT,pw,13,0.424069732427597,0.36417968571186066,0.40291254222393036,-0.059890046715736334,0.0387328565120697,-0.02115719020366663,False
