arm,seed,capability,layer,source,is_primary,participation_ratio_centered,participation_ratio_uncentered,direction_norm,heldout_cohens_d,n_pairs
PW,0,CODE,9,train_templates,False,5.077812074839415,2.0433676403502057,6.837017059326172,17.082229614257812,200
PW,0,CODE,10,train_templates,False,4.940214288946015,1.8526283211921604,7.646122932434082,16.623374938964844,200
PW,0,CODE,11,train_templates,False,6.801883680776958,1.6129758755096324,10.806120872497559,11.533578872680664,200
PW,0,CODE,12,train_templates,False,6.856701989410305,1.385572697442304,15.161815643310547,12.732693672180176,200
PW,0,CODE,13,train_templates,False,6.319333633498849,1.4997542339640961,13.259638786315918,13.148990631103516,200
PW,0,CODE,14,train_templates,False,6.716790448130514,1.5573278551713692,13.703592300415039,15.315324783325195,200
PW,0,CODE,15,train_templates,False,6.510807163232633,1.5853937883589402,13.566971778869629,16.431819915771484,200
PW,0,CODE,16,train_templates,False,5.604460633415113,1.5641355118088125,13.639913558959961,18.086952209472656,200
PW,0,CODE,17,train_templates,False,7.210127466166456,1.4335836921285434,17.0042667388916,19.70827293395996,200
PW,0,CODE,18,train_templates,False,7.58703481903322,1.3803056209716875,19.43992805480957,19.076213836669922,200
PW,0,CODE,19,train_templates,False,8.154844552897666,1.3289682706431907,23.1077880859375,19.283140182495117,200
PW,0,CODE,20,train_templates,False,6.450578310597438,1.2832885864195684,28.130338668823242,17.221914291381836,200
PW,0,CODE,21,train_templates,False,8.952687409531428,1.3431114393939962,32.01416015625,17.704010009765625,200
PW,0,CODE,22,train_templates,False,11.524461892295337,1.424519905686246,35.79502868652344,16.54170799255371,200
PW,0,CODE,23,train_templates,False,11.957366684724569,1.4904957876513145,40.91096878051758,16.733131408691406,200
PW,0,CODE,24,train_templates,False,13.183428205172332,1.5396101286892767,45.66189193725586,16.558757781982422,200
PW,0,CODE,25,train_templates,False,15.164058010967153,1.5833563837120044,50.829307556152344,16.345415115356445,200
PW,0,CODE,26,train_templates,False,14.615187987726415,1.59729903711043,57.43711471557617,15.713789939880371,200
PW,0,CODE,27,train_templates,False,14.746139695602244,1.6473822867424146,63.11472702026367,15.496761322021484,200
