arm,seed,layer,cosine,source,is_primary,cap_a,cap_b
SEM,1,25,0.4223242402076721,heldout_templates,True,MATH,CODE
SEM,1,26,0.33581867814064026,heldout_templates,True,MATH,CODE
SEM,1,27,0.3199865221977234,heldout_templates,True,MATH,CODE
SEM,1,28,0.2302459180355072,heldout_templates,True,MATH,CODE
PW_XT,0,0,,train_templates,False,MATH,CODE
PW_XT,0,1,0.5645558834075928,train_templates,False,MATH,CODE
PW_XT,0,2,0.5778483152389526,train_templates,False,MATH,CODE
PW_XT,0,3,0.7946962118148804,train_templates,False,MATH,CODE
PW_XT,0,4,0.6833888292312622,train_templates,False,MATH,CODE
PW_XT,0,5,0.6573453545570374,train_templates,False,MATH,CODE
PW_XT,0,6,0.6996045708656311,train_templates,False,MATH,CODE
PW_XT,0,7,0.6866449117660522,train_templates,False,MATH,CODE
PW_XT,0,8,0.669248104095459,train_templates,False,MATH,CODE
PW_XT,0,9,0.5980690121650696,train_templates,False,MATH,CODE
PW_XT,0,10,0.5869691371917725,train_templates,False,MATH,CODE
PW_XT,0,11,0.5959184765815735,train_templates,False,MATH,CODE
PW_XT,0,12,0.548692524433136,train_templates,False,MATH,CODE
PW_XT,0,13,0.44095978140830994,train_templates,False,MATH,CODE
PW_XT,0,14,0.3529801368713379,train_templates,False,MATH,CODE
PW_XT,0,15,0.236299067735672,train_templates,False,MATH,CODE
PW_XT,0,16,0.17733217775821686,train_templates,False,MATH,CODE
PW_XT,0,17,0.16447874903678894,train_templates,False,MATH,CODE
PW_XT,0,18,0.15940015017986298,train_templates,False,MATH,CODE
PW_XT,0,19,0.14889533817768097,train_templates,False,MATH,CODE
PW_XT,0,20,0.23722346127033234,train_templates,False,MATH,CODE
PW_XT,0,21,0.29303398728370667,train_templates,False,MATH,CODE
PW_XT,0,22,0.23518532514572144,train_templates,False,MATH,CODE
PW_XT,0,23,0.21771828830242157,train_templates,False,MATH,CODE
PW_XT,0,24,0.1864635944366455,train_templates,False,MATH,CODE
PW_XT,0,25,0.22838018834590912,train_templates,False,MATH,CODE
